benchmark,result,holes,solve
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00373_015528__18732530_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00574_023347__19010986_1.p.stdout,unsat,,1711
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00333_013899__18672334_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00155_006417__18455144_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0007_Elementary_Prime_Bounds/prob_00202_008354__18499834_1.p.stdout,unsat,,27402
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0009_Summatory_Divisor_Sigma_Bounds/prob_00106_005318__19868576_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0009_Summatory_Divisor_Sigma_Bounds/prob_00325_016673__20089428_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0009_Summatory_Divisor_Sigma_Bounds/prob_00062_002913__19809976_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0009_Summatory_Divisor_Sigma_Bounds/prob_00281_014803__20036228_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0009_Summatory_Divisor_Sigma_Bounds/prob_00234_012059__19993884_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0009_Summatory_Divisor_Sigma_Bounds/prob_00176_009021__19931412_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0013_Selberg_Asymptotic_Formula/prob_00132_006330__21946076_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0013_Selberg_Asymptotic_Formula/prob_00226_011876__22122342_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0013_Selberg_Asymptotic_Formula/prob_00174_008620__22029328_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Prime_Distribution_Elementary/0013_Selberg_Asymptotic_Formula/prob_00084_003792__21888664_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0002_FreeMonoidalCategory/prob_01025_035403__39059242_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0002_FreeMonoidalCategory/prob_01293_045477__40879908_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0002_FreeMonoidalCategory/prob_01896_069788__42951422_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0002_FreeMonoidalCategory/prob_02869_109955__44674440_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0002_FreeMonoidalCategory/prob_02259_085137__43658092_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0002_FreeMonoidalCategory/prob_01950_072210__43140676_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/MonoidalCategory/0002_FreeMonoidalCategory/prob_02525_096474__44188114_1.p.stdout,,,
